"国&地域","タイトル","URL","概要","カテゴリ","検証状態"
"日本・埼玉県三芳町","石坂産業","https://ishizaka-group.co.jp/","産廃処理会社が里山再生・工場見学・環境教育を通じて、ごみ処理の現場を学習体験へ転換する代表例。","メディア表現（企業ブランディング・施設）","採用候補（現行・高確度）"
"日本・東京都武蔵野市","武蔵野クリーンセンター / gomi_pit BAR","https://www.city.musashino.lg.jp/kurashi_guide/gomi_kankyou_eisei/clean_center/1024899.html | https://mues-ebara.com/","ガラス張り清掃工場の見学動線と、ごみピット前でクラフトビールを楽しむ BAR 企画で、迷惑施設のイメージを反転した事例。","メディア表現（施設・イベント）","採用候補（施設現行 / BAR終了）"
"日本・徳島県上勝町","上勝町ゼロ・ウェイストセンター「WHY」/ HOTEL WHY","https://why-kamikatsu.jp/","ごみ収集所・交流施設・宿泊体験を一体化し、分別と滞在そのものをメディア化したゼロ・ウェイスト建築。","メディア表現（建築・施設・宿泊体験）","採用候補（現行・高確度）"
"日本・宮城県石巻市","Nozomi Project","https://nozomiproject.jp/","震災で割れた陶器片をアクセサリーへ再生し、被災地の雇用創出と物語性を両立したソーシャルプロダクト。","プロダクト","採用候補（現行・高確度）"
"日本・横浜","buøy / テクノラボ","https://buoy.co.jp/ | https://www.buoy.yokohama/ | https://www.techno-labo.com/rebirth/","海洋プラの混色や異物を一点物の模様として活かし、拾った浜の出自まで商品価値に変える工芸的ブランド。","プロダクト","採用候補（現行・高確度）"
"日本・東京","PLASTICITY","https://plasticity.tokyo/ | https://plasticity.co.jp/ | https://www.mondodesign.jp/vinyl-umbrella-recycle/","廃ビニール傘を独自素材に圧着し、回収スキームまで設計したブランド。旧公式から新公式への移行後も販売継続を確認。","プロダクト","採用候補（現行・高確度）"
"日本・東京","島津冬樹 / Carton","https://carton-f.com/ | http://carton-movie.com/","世界各地で拾った段ボールの印刷面をそのまま財布へ変え、来歴そのものを一点物の価値に変える個人プロジェクト。","プロダクト","採用候補（現行・高確度）"
"英国・ケント/ロンドン","Elvis & Kresse","https://www.elvisandkresse.com/","退役消防ホースを高級バッグや財布へ再生し、素材の来歴と寄付スキームをブランド価値に接続したラグジュアリー事例。","プロダクト","採用候補（現行・高確度）"
"スイス・チューリッヒ","FREITAG","https://freitag.ch/en_US/mission/about-freitag","使用済みトラック幌・シートベルトなどを一点物バッグへ転換し、アップサイクルを世界的なデザインアイコンにした元祖。","プロダクト","採用候補（現行・高確度）"
"日本・香川県豊島","豊島のこころ資料館","https://www.teshima-school.jp/struggle/history/ | https://kougai.info/archives/887","不法投棄現場の元事務所を転用し、産廃を素材ではなく負の記憶として保存・語り継ぐ住民主体の資料館。","メディア表現（資料館）","採用候補（現行・高確度）"
"イタリア/オランダ","Formafantasma「Ore Streams」","https://formafantasma.com/work/ore-streams","電子廃棄物の実態調査とデザイン提言を、家具・映像・展示に統合した調査型デザインの代表作。","アートワーク（デザインリサーチ）＋メディア表現","採用候補（歴史 / 参照価値高）"
"英国・リーズ","Mandy Barker","https://www.mandy-barker.com/about","回収した海洋プラを星雲のように美しく撮影し、キャプションで科学的現実を突きつける写真表現。","メディア表現（写真）","採用候補（現行・高確度）"
"イタリア・ローマ ほか","Maria Cristina Finucci「The Garbage Patch State / Wasteland」","https://www.garbagepatchstate.org/eng/the-garbage-patch-state-equipe.html","太平洋ごみベルトを国家に見立て、UNESCOやヴェネチアの制度空間へ持ち込んだコンセプチュアル・アート。","アートワーク（コンセプチュアル/インスタレーション）","採用候補（歴史 / 一次確定）"
"メキシコ・シアンカアン","Washed Up / Museo de la Basura","https://alejandroduran.com/museodelabasura | https://alejandroduran.com/installations","漂着プラをごみに見えない風景へ擬態させ、清掃・教育・記録まで含む進行形アーカイブへ育てたプロジェクト。","アートワーク（サイトスペシフィック）＋メディア表現","採用候補（現行・高確度）"
"日本・宮城県仙台市","青野文昭","https://acac-aomori.jp/people/aono-fumiaki/ | https://www.smt.jp/projects/aono_ten/","拾得物や災害廃棄物を「なおす」行為で、欠損や記憶を残したまま別の存在へ再生させる作家。","アートワーク","採用候補（現行・高確度）"
"米国・サンフランシスコ","Recology Artist in Residence Program","https://www.recology.com/recology-san-francisco/artist-in-residence-program/","ごみ中継・リサイクル施設の内部に作家スタジオを置き、廃棄物教育と制作を一体運営する長寿レジデンス制度。","アートワーク / 教育 / 施設連携","採用候補（現行・高確度）"
"スウェーデン・エスキルストゥーナ","ReTuna Återbruksgalleria","https://www.retuna.se/english/about-us","リユース専門モールとして、不用品の持込から修理・販売までの動線を商業施設の文法で見せる現行事例。","メディア表現（商業施設・仕組みのデザイン）","採用候補（現行・高確度）"
"イタリア・トスカーナ州ペッチョーリ","ペッチョーリ「Triangolo Verde」","https://www.peccioli.net/en/presenze-an-installation-by-naturaliter/ | https://www.terredipisa.it/en/attrazione/peccioli-legoli-triangolo-verde-green-triangle/","廃棄物処分場を巨人像・野外劇場・パブリックアートで文化施設化し、処分場収益を地域へ還元するモデル。","メディア表現（施設・パブリックアート）","採用候補（現行・高確度）"
"日本・長野","ReBuilding Center JAPAN","https://rebuildingcenter.jp/ | https://store.rebuildingcenter.jp/","古材・建具・古道具をレスキューし、店舗・カフェ・ワークショップ・空間づくりへ接続する再流通拠点。","プロダクト / 空間表現 / 流通","採用候補（現行・高確度）"
"米国・フィラデルフィア","RAIR Philly","https://www.rairphilly.org/","建設・解体系廃棄物の現場を、作家レジデンス・展示・教育へ接続するプログラム。","アートワーク / レジデンス / 建築廃材","採用候補（現行・要実務確認）"
"米国・シカゴ","The Wasteshed","https://www.thewasteshed.com/","地域の不要素材をアート材料として流通させるコミュニティ型クリエイティブリユース拠点。","素材流通 / 教育 / 地域工房","採用候補（現行・高確度）"
"米国","SCRAP Creative Reuse","https://scrapcreativereuse.org/","廃材や余剰素材を、教育・制作・地域店舗運営へ循環させるクリエイティブリユース組織。","素材流通 / 教育 / 店舗運営","採用候補（現行・高確度）"
"オランダ・アムステルダム","WasteBoards","https://wasteboards.com/","ボトルキャップなどの廃プラスチックをスケートボードデッキへ変える都市型小ブランド。","プロダクト / スケートカルチャー / 廃プラ","採用候補（現行・高確度）"
"米国","Emeco「111 Navy Chair」","https://www.emeco.net/products/111-navy-chair | https://www.emeco.net/about/news","PETボトル由来素材を名作椅子のデザイン言語へ接続した量産家具。現行仕様は少なくとも170本/脚で、「111本」は名称由来として扱う。","プロダクト / 家具 / ブランド協業","採用候補（現行販売・名称注記）"
"日本・東京","NEWSED（NEWSED PROJECT）","https://newsed.jp/","出自が語れる廃材を製品化した日本の草分けアップサイクルブランド。歴史的価値は高いが、現行展開は未確認。","プロダクト","採用候補（歴史 / 現行性未確認）"
"英国 / 太平洋","Trash Isles","https://plasticoceans.org/trash-isles-creativity/","太平洋ごみベルトを国家に見立て、国旗・通貨・パスポートまで設計したキャンペーンの代表例。","メディア表現（キャンペーン）","採用候補（歴史 / 終了）"
"日本・東京都台東区","Rinne.bar","https://www.rinne.earth/","廃材工作と飲食を組み合わせたクラフトバー。常設店は終了したが、出張型プログラムへ形態転換している。","メディア表現（体験・場）","採用候補（歴史 / 出張型継続）"
"オーストリア / ガーナ","Welcome to Sodom","https://www.welcome-to-sodom.com/ | https://www.blackboxfilm.at/blackbox/dmz-docs-2/dsc00440/","アグボグブロシーを観察的に描いたドキュメンタリー。舞台となる旧スクラップヤードは2021年に強制撤去されており、現況注記が必要。","メディア表現（ドキュメンタリー映画）","採用候補（歴史 / 現況注記必須）"
"オランダ","Plasticiet","https://plasticiet.com/","再生プラスチック板材を、テラゾー状の素材表情で建築・家具へ展開する小規模スタジオ型素材ブランド。","素材開発 / 家具 / 内装","条件付き採用（現行サイトあり）"
"日本","REMARE","https://remare.jp/ | https://remare.jp/news","海洋プラスチックや廃プラスチックを、循環型資源・素材・プロダクトへ接続する国内ブランド候補。","プロダクト / 素材開発 / 地域連携","条件付き採用（現行サイトあり）"
